time	V(n007)
0.000000000000000e+00	2.498858e+00
4.848381094399532e-08	2.498942e+00
1.454514328320944e-07	2.499101e+00
3.393866766081841e-07	2.499340e+00
7.272571641603635e-07	2.499551e+00
1.119716671867631e-06	2.499498e+00
1.523745242935199e-06	2.499248e+00
1.954332524703494e-06	2.498914e+00
2.451081400641430e-06	2.498700e+00
2.929655796645001e-06	2.498841e+00
3.400361849378451e-06	2.499101e+00
3.940698307666269e-06	2.499230e+00
4.858206401416629e-06	2.499486e+00
5.691877406078182e-06	2.500000e+00
6.585364225506125e-06	2.500559e+00
7.696308662858255e-06	2.501109e+00
8.748272387037776e-06	2.501524e+00
1.015957746507840e-05	2.501855e+00
1.150343312806136e-05	2.501834e+00
1.284865302867181e-05	2.501417e+00
1.458896752710060e-05	2.500719e+00
1.671083101023520e-05	2.499794e+00
1.965094652861999e-05	2.498335e+00
2.231352765182147e-05	2.497654e+00
2.354673260960801e-05	2.497982e+00
2.497350294702948e-05	2.498725e+00
2.646718245977132e-05	2.499547e+00
2.874602718573984e-05	2.500998e+00
2.981050310943358e-05	2.501669e+00
3.071668131716292e-05	2.502047e+00
3.159703527728366e-05	2.501897e+00
3.214176045891065e-05	2.501443e+00
3.268282946905618e-05	2.500984e+00
3.328972279071502e-05	2.500792e+00
3.389972999282541e-05	2.500854e+00
3.457167294571484e-05	2.500905e+00
3.570128036175331e-05	2.500605e+00
3.672160104881399e-05	2.500316e+00
3.786201861190807e-05	2.500314e+00
3.902815778557994e-05	2.500063e+00
4.002739687740951e-05	2.499550e+00
4.098444196264507e-05	2.499492e+00
4.150247908709217e-05	2.499676e+00
4.232523746232700e-05	2.499913e+00
4.323330059880523e-05	2.500130e+00
4.465178143179150e-05	2.500194e+00
4.537977266232823e-05	2.500008e+00
4.641827365550548e-05	2.499861e+00
4.704342199864922e-05	2.499933e+00
4.794777039856450e-05	2.500058e+00
4.946083819107664e-05	2.500245e+00
5.035677379547246e-05	2.500336e+00
5.214864500426410e-05	2.500374e+00
5.340003743807228e-05	2.500175e+00
5.460881056242809e-05	2.499948e+00
5.597359346095861e-05	2.500012e+00
5.704167272476584e-05	2.500045e+00
5.799165546491625e-05	2.499879e+00
5.910201733097910e-05	2.499634e+00
6.022817469380018e-05	2.499336e+00
6.088565143420421e-05	2.499138e+00
6.154502506326004e-05	2.499082e+00
6.200254060179208e-05	2.499317e+00
6.238243104830202e-05	2.499668e+00
6.278331028104138e-05	2.499972e+00
6.311590049202283e-05	2.500105e+00
6.354160943975752e-05	2.500130e+00
6.403898103967038e-05	2.500017e+00
6.449880970441405e-05	2.499876e+00
6.509069594134369e-05	2.499781e+00
6.558096261050040e-05	2.499808e+00
6.628782499432226e-05	2.499820e+00
6.697575508893912e-05	2.499610e+00
6.762160158119244e-05	2.499473e+00
6.823317210110378e-05	2.499651e+00
6.887688381438913e-05	2.499822e+00
6.950045392175946e-05	2.499674e+00
7.016706605744553e-05	2.499397e+00
7.091106484765025e-05	2.499291e+00
7.165904569027444e-05	2.499439e+00
7.261654717123504e-05	2.499754e+00
7.382467981142742e-05	2.499970e+00
7.489503379160380e-05	2.499848e+00
7.605646065819921e-05	2.499814e+00
7.693005577491193e-05	2.500312e+00
7.770238433726419e-05	2.500954e+00
7.853640673787725e-05	2.501301e+00
7.900367767729732e-05	2.501215e+00
7.942847489245911e-05	2.500947e+00
7.985519294553649e-05	2.500575e+00
8.031561671206159e-05	2.500160e+00
8.091952618486168e-05	2.499700e+00
8.149591347106182e-05	2.499299e+00
8.203192349027632e-05	2.498932e+00
8.310394352870531e-05	2.498573e+00
8.388046788987511e-05	2.498874e+00
8.468437120636113e-05	2.499323e+00
8.550491868644964e-05	2.499476e+00
8.651223910700640e-05	2.499624e+00
8.786016863435143e-05	2.499809e+00
8.917610911750610e-05	2.499907e+00
9.072581280215029e-05	2.500406e+00
9.190535002223915e-05	2.501148e+00
9.313155494629550e-05	2.501848e+00
9.411410553902540e-05	2.502050e+00
9.509510263640720e-05	2.501960e+00
9.621579669784233e-05	2.501534e+00
9.745586375503829e-05	2.500747e+00
9.893054176601541e-05	2.500103e+00
1.001250948811742e-04	2.500181e+00
1.014726731920088e-04	2.500446e+00
1.027755496290466e-04	2.500275e+00
1.041807560908029e-04	2.499818e+00
1.056267324894285e-04	2.499621e+00
1.066717302521002e-04	2.499772e+00
1.082060946890393e-04	2.500204e+00
